ANOOLIMP,PAISSEDE,TIPOOLIMP
1900,FRA,Summer
1904,USA,Summer
1908,GBR,Summer
1912,SWE,Summer
1920,BEL,Summer
1924,FRA,Summer
1924,FRA,Winter
1928,NED,Summer
1928,SUI,Winter
1932,USA,Summer
1932,USA,Winter
1936,GER,Summer
1936,GER,Winter
1948,GBR,Summer
1948,SUI,Winter
1952,FIN,Summer
1952,NOR,Winter
1956,AUS,Summer
1956,ITA,Winter
1960,ITA,Summer
1960,USA,Winter
1964,AUT,Winter
1964,JPN,Summer
1968,FRA,Winter
1968,MEX,Summer
1972,GER,Summer
1972,JPN,Winter
1976,AUT,Winter
1976,CAN,Summer
1980,USA,Winter
1980,RUS,Summer
1984,USA,Summer
1984,YUG,Winter
1988,CAN,Winter
1988,KOR,Summer
1992,FRA,Winter
1992,ESP,Summer
1994,NOR,Winter
1996,USA,Summer
1998,JPN,Winter
2000,AUS,Summer
2002,USA,Winter
2004,GRE,Summer
2006,ITA,Winter
2008,CHN,Summer
2010,CAN,Winter
2012,GBR,Summer
2014,RUS,Winter
1896,GRE,Summer
